               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.9814,               23.57,              3.8743,          0.00017033,                0.06,          0.00026094,          5.9189e-05,                   0,                   0,                   0,            0.070638,           0.0032624,           0.0032624
                   1,              4.0854,              9.1731,              3.8084,          5.2736e-05,                0.02,          4.9877e-05,          1.6456e-05,                   0,                   0,                   0,            0.040377,           0.0063346,           0.0063346
                   2,              3.8443,              7.1659,              3.5335,          0.00096981,                0.14,           0.0011469,          0.00037968,                   0,                   0,                   0,           0.0098519,           0.0091427,           0.0091427
                   3,               3.753,              6.6173,              3.5045,          0.00057613,                0.05,          0.00036655,          9.1462e-05,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   4,              3.9666,              6.5618,              3.4835,          0.00072288,                0.07,          0.00056954,          0.00010781,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   5,              3.8436,              6.4352,              3.4319,          4.7092e-05,                0.04,          2.9045e-05,          6.8764e-06,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                   6,              3.8791,              6.2734,              3.5407,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   7,              3.9149,              6.2321,              3.5388,          0.00017383,                0.04,            0.001919,          0.00075748,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                   8,              3.8145,               5.968,              3.5045,          0.00020561,                0.09,          0.00015831,          4.3355e-05,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                   9,              3.8598,              6.2073,              3.3891,           0.0018237,                0.03,           0.0022908,          0.00078718,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  10,              3.6441,              6.0696,              3.5003,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  11,              3.7771,              6.1351,              3.6394,           0.0003009,                0.09,          0.00048665,          0.00011693,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  12,              3.8405,              6.3507,              3.6913,          9.6899e-05,                0.11,          9.4924e-05,          2.3675e-05,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  13,              3.6108,              5.8835,              3.5885,          0.00030499,                0.01,          0.00010052,          3.6888e-05,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  14,              3.8507,              6.0045,               3.576,          0.00031577,                0.08,          0.00058106,          0.00018489,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  15,              3.2936,              5.7324,              3.4161,          0.00074231,                0.07,          0.00079549,          0.00021447,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  16,              3.6647,              5.8384,              3.4098,          0.00047337,                0.16,           0.0017526,          0.00033832,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  17,               3.759,              5.6694,              3.5837,           0.0011142,                0.08,           0.0024311,           0.0006795,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  18,              3.4587,              5.5924,              3.3742,           0.0025087,                0.11,           0.0019901,           0.0005154,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  19,              3.6743,              5.7802,              3.5796,           0.0017269,                0.15,            0.003911,          0.00077137,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  20,              3.6486,              5.8047,              3.5111,           0.0017679,                0.11,           0.0037112,           0.0007294,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  21,              3.6117,              5.6458,              3.4667,           0.0019157,                 0.1,           0.0040528,          0.00082657,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  22,              3.5375,              5.4056,              3.3513,          0.00070077,                0.15,           0.0084759,            0.002749,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  23,              3.2014,              5.6177,               3.162,           0.0023543,                0.21,            0.012786,            0.003602,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  24,              3.6057,              5.6691,              3.4627,           0.0014179,                 0.2,           0.0087656,           0.0020048,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
