               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               4.202,               36.69,              4.1678,          0.00017374,                0.12,           0.0014274,          0.00027369,                   0,                   0,                   0,            0.070638,           0.0032624,           0.0032624
                   1,              3.8133,              10.321,              3.7502,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040377,           0.0063346,           0.0063346
                   2,              3.5071,              7.3741,              3.5072,          0.00061668,                0.16,          0.00094762,          0.00019468,                   0,                   0,                   0,           0.0098519,           0.0091427,           0.0091427
                   3,              3.4229,              6.2414,              3.3643,          0.00062016,                0.06,            0.001423,          0.00044934,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   4,              3.5012,              6.1901,              3.4293,            0.003318,                0.22,            0.009516,            0.001848,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   5,              3.2697,              5.6417,              3.2421,           0.0010839,                0.14,           0.0038869,           0.0011628,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                   6,              3.2152,              5.3682,              3.0927,          0.00075756,                0.29,           0.0029123,          0.00060088,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   7,              3.3011,              5.5551,              3.2365,           0.0024039,                0.19,           0.0025404,          0.00075259,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                   8,              2.9628,              5.5973,              2.9603,          0.00097756,                0.05,          0.00082037,          0.00027328,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                   9,              2.8833,              5.6488,              2.9184,           0.0012107,                0.15,           0.0050722,           0.0016958,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  10,               3.063,              5.5896,              3.0304,           0.0026534,             0.26111,            0.004197,           0.0011882,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  11,              2.8687,              5.6992,              2.9614,           0.0016315,             0.36222,            0.022789,           0.0073295,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  12,              2.7871,              5.4475,              2.9189,           0.0055705,             0.17111,           0.0092677,           0.0024025,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  13,               2.671,               5.113,              2.7401,           0.0024942,                0.21,            0.029648,           0.0059109,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  14,               2.752,              5.3065,              2.9601,           0.0041711,             0.30111,            0.011397,            0.003648,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  15,              2.8385,              4.8637,              2.9035,           0.0027403,             0.34111,            0.024072,           0.0090862,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  16,              2.6532,              4.9843,              2.8723,           0.0041957,             0.32222,            0.015084,           0.0038028,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  17,               2.541,              5.0626,              2.7222,             0.80963,                0.06,            0.022114,           0.0054257,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  18,              2.4701,              4.6558,              2.6305,           0.0075576,             0.30111,            0.037143,           0.0084773,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  19,              2.4877,               4.807,              2.6997,             0.00522,             0.29111,             0.03182,           0.0090764,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  20,              2.3827,              4.5426,              2.6252,             0.62248,                0.05,            0.038876,            0.010254,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  21,              2.3251,              4.6692,              2.7022,             0.21353,                0.13,            0.022544,           0.0082308,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  22,              2.1866,              4.2882,              2.5242,             0.20916,                0.07,            0.024084,           0.0098545,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  23,              2.0894,              4.2244,              2.5502,             0.41512,                0.05,             0.01837,           0.0048805,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  24,               1.874,              3.9457,              2.2729,             0.21253,                0.09,            0.015334,           0.0040056,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
